Item ,Unit,Price,Total,Link
Raspberry PI,1,160,160,https://www.aliexpress.com/item/1005002846231373.html?spm=a2g0o.cart.0.0.17bc38daB0HFds&mp=1&pdp_npi=6%40dis%21USD%21USD%20160.00%21USD%20160.00%21%21USD%20160.00%21%21%21%402141131717694398070597745e599f%2112000039764958487%21ct%21BD%21-1%21%211%210%21
Power Supply,1,11.82,11.82,https://www.aliexpress.com/item/1005008579341140.html?spm=a2g0o.cart.0.0.17bc38daB0HFds&mp=1&pdp_npi=6%40dis%21USD%21USD%2024.13%21USD%2011.82%21%21USD%2011.82%21%21%21%40212e509017694419197264474e2813%2112000045808857284%21ct%21BD%21-1%21%211%210%21
Arduino uno r4,1,19.65,19.65,https://www.aliexpress.com/item/1005007002792832.html?spm=a2g0o.cart.0.0.17bc38daB0HFds&mp=1&pdp_npi=6%40dis%21USD%21USD%2019.65%21USD%2019.65%21%21USD%2019.65%21%21%21%40212e509017694419632235082e2813%2112000039015708035%21ct%21BD%21-1%21%211%210%21
2MP HD 1080P OV2735 USB Camera,1,17.05,17.05,https://www.aliexpress.com/item/1005008065990760.html?spm=a2g0o.cart.0.0.17bc38daB0HFds&mp=1&pdp_npi=6%40dis%21USD%21USD%2023.14%21USD%2017.05%21%21USD%2017.05%21%21%21%40212e509017694419978855759e2813%2112000043516520509%21ct%21BD%21-1%21%211%210%21
Nema17 Motor,3,16.54,49.62,https://www.aliexpress.com/item/1005009127087528.html?spm=a2g0o.cart.0.0.17bc38daB0HFds&mp=1&pdp_npi=6%40dis%21USD%21USD%2018.80%21USD%2016.54%21%21USD%2016.54%21%21%21%40212e509017694420342476821e2813%2112000048010452860%21ct%21BD%21-1%21%213%210%21
Stepper Motor 24BYG48 12V 1:16 Gear,1,2.72,2.72,https://www.aliexpress.com/item/1005008666910942.html?spm=a2g0o.cart.0.0.17bc38daB0HFds&mp=1&pdp_npi=6%40dis%21USD%21USD%204.18%21USD%202.72%21%21USD%202.72%21%21%21%40212e509017694420919648115e2813%2112000046158007188%21ct%21BD%21-1%21%211%210%21
Stepper Motor CNC Shield,1,17.71,17.71,https://www.aliexpress.com/item/1005004333918829.html?spm=a2g0o.cart.0.0.17bc38daB0HFds&mp=1&pdp_npi=6%40dis%21USD%21USD%2017.71%21USD%2017.71%21%21USD%2017.71%21%21%21%40212e509017694420919648115e2813%2112000028795865181%21ct%21BD%21-1%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
Stepper Motor Driver Board,1,5.46,5.46,https://www.aliexpress.com/item/1005010306627246.html?spm=a2g0o.cart.0.0.17bc38daB0HFds&mp=1&pdp_npi=6%40dis%21USD%21USD%205.46%21USD%205.46%21%21USD%205.46%21%21%21%40212e509017694421798091807e2813%2112000051874659774%21ct%21BD%21-1%21%211%210%21
,,,0,
Shipping cost,1,121.29,121.29,
,,,0,
,,,0,
Total,,,405.32,
